Language,original,english,german,chinesesimp,chinese,russian,czech,polish,hungarian,italian,spanish,french,portuguese,japanese,Column 16
open_house_menu,Open house menu,Open house menu,Öffne Hausmenü,开放日菜单,開放日菜單,Открыть меню,Den otevřených dveří,Otwórz menu domu,Nyitott ház menü,Menu della casa aperto,Menu portes ouvertes,Menu portes ouvertes,Menu da casa aberta,オープンハウスメニュー,
Housing_Menu,Housing Menu,Housing Menu,Haus Menü,房屋菜单,房屋菜單,Жилищное меню,Nabídka bydlení,Menu mieszkaniowe,Ház menü,Menu alloggi,Menu logement,Menu logement,Menu de habitação,住宅メニュー,
Buy_Price,Purchase price:,Purchase price:,Kaufpreis:,购买价格：,購買價格：,Цена:,Kupní cena:,Cena zakupu:,Vételár:,Prezzo d'acquisto:,Prix ​​d'achat:,Prix ​​d'achat:,Preço de compra:,購入金額：,
Sell_Price,Selling price:,Selling price:,Verkaufspreis:,售价：,售價：,Цена продажи:,Prodejní cena:,Cena sprzedaży:,Eladási ár:,Prezzo di vendita:,Prix ​​de vente:,Prix ​​de vente:,Preço de venda:,販売価格：,
Storage_Options,Storage:,Storage:,Lager:,贮存：,貯存：,Место хранения:,Úložný prostor:,Przechowywanie:,Tárolás:,Conservazione:,Espace de rangement:,Espace de rangement:,Armazenar:,ストレージ：,
Buy,Buy,Buy,Kaufen,买,買,Купить,Koupit,Kup,megvesz,Acquistare,Acheter,Acheter,Comprar,購入,
trade,trade,trade,handeln,贸易,貿易,торговля,obchod,handel,kereskedelmi,commercio,Commerce,Commerce,troca,トレード,
Sell,Sell,Sell,Verkaufen,卖,賣,Продавать,Prodat,Sprzedać,Elad,Vendere,Vendre,Vendre,Vender,売る,
Price,Price,Price,Preis,价格,價格,Цена,Cena,Cena £,Ár,Prezzo,Prix,Prix,Preço,価格,
sum,sum,sum,Summe,和,和,сумма,součet,suma,összeg,somma,somme,somme,soma,和,
sell_Shopping_Cart,Sell shopping cart contents,Sell shopping cart contents,Warenkorb Verkaufen,出售购物车内容,出售購物車內容,Продать содержимое корзины покупок,Prodejte obsah nákupního košíku,Sprzedawaj zawartość koszyka,A kosár tartalmának eladása,Vendi il contenuto del carrello,Vendre le contenu du panier,Vendre le contenu du panier,Venda o conteúdo do carrinho de compras,ショッピングカートの内容を販売する,
buy_Shopping_Cart,Buy shopping cart contents,Buy shopping cart contents,Warenkorb kaufen,购买购物车内容,購買購物車內容,Купить содержимое корзины покупок,Koupit obsah nákupního košíku,Kup zawartość koszyka,Vásároljon kosár tartalmát,Acquista il contenuto del carrello,Acheter le contenu du panier,Acheter le contenu du panier,Compre o conteúdo do carrinho de compras,ショッピングカートの内容を購入する,
Money,Money:,Money:,Bargeld:,钱：,錢：,Деньги:,Peníze:,Pieniądze:,Pénz:,I soldi:,De l'argent:,De l'argent:,Dinheiro:,お金：,
Housing_Info,Housing Info,Housing Info,Haus Info,房屋信息,房屋信息,Информация о жилье,Informace o bydlení,Informacje mieszkaniowe,Lakásinformáció,Informazioni sull'alloggio,Info logement,Info sur le logement,Informações sobre habitação,住宅情報,
Houses,Houses,Houses,Häuser,房屋,房屋,Дома,Domy,Domy,Házak,Case,Maisons,Maisons,Casas,住宅,
Housing_upgrade_info,House upgrade info,House upgrade info,Haus Upgrade Info,房屋升级信息,房屋升級信息,Информация об улучшении дома,Informace o upgradu domu,Informacje o aktualizacji domu,Ház frissítési információ,Informazioni sull'aggiornamento della casa,Informations sur la mise à niveau de la maison,Informations sur la mise à niveau de la maison,Informações de atualização de casa,家のアップグレード情報,
Housing_Upgrade_Menu,Housing Upgrade Menu,Housing Upgrade Menu,Haus Upgrade Menü,房屋升级菜单,房屋升級菜單,Меню улучшения жилья,Nabídka upgradu bydlení,Menu rozbudowy mieszkania,Házfrissítési menü,Menu di aggiornamento degli alloggi,Menu de mise à niveau du logement,Menu de mise à niveau du logement,Menu de atualização de habitação,住宅アップグレードメニュー,
Storage_Size,Storage Size:,Storage Size:,Lagergröße:,储存空间：,儲存空間：,Размер хранилища:,Velikost úložiště:,Rozmiar pamięci:,Tárolási méret:,Dimensioni di archiviazione:,Taille de stockage:,Taille de stockage:,Tamanho de armazenamento:,ストレージサイズ：,
Licence_Menu,License Menu,License Menu,Lizenzen Menü,许可证菜单,許可證菜單,Лицензионное меню,Nabídka Licence,Menu licencji,Licenc menü,Menu licenza,Menu de licence,Menu de licence,Menu de Licença,ライセンスメニュー,
License,License,License,Lizenzen,执照,執照,Лицензия,Licence,Licencja,Engedély,Licenza,Licence,Licence,Licença,ライセンス,
no_position_to_for_extension_found,No position found for the extension,No position found for the extension,Keine Position für die Erweiterung gefunden.,找不到扩展名的位置,找不到擴展名的位置,Позиция для расширения не найдена,Pro rozšíření nebyla nalezena žádná pozice,Nie znaleziono pozycji dla rozszerzenia,Nem található pozíció a kiterjesztéshez,Nessuna posizione trovata per l'estensione,Aucune position trouvée pour l'extension,Aucune position trouvée pour l'extension,Nenhuma posição encontrada para a extensão,拡張機能の位置が見つかりません,
max_storgage_is_allready_bought,Maximum number of storage extensions has already been purchased,Maximum number of storage extensions has already been purchased,Maximale Anzahl an Lagererweiterungen wurde bereits gekauft.,已购买最大数量的存储扩展,已購買最大數量的存儲擴展,Максимальное количество расширений хранилища уже приобретено,Maximální počet rozšíření úložiště již byl zakoupen,Kupiono już maksymalną liczbę rozszerzeń przestrzeni dyskowej,A tárhelybővítmények maximális számát már megvásárolták,Il numero massimo di estensioni di archiviazione è già stato acquistato,Le nombre maximum d'extensions de stockage a déjà été acheté,Le nombre maximum d'extensions de stockage a déjà été acheté,O número máximo de extensões de armazenamento já foi adquirido,最大数のストレージ拡張機能はすでに購入済みです,
strorage_can_not_spawn,Storage extensions can not be created,Storage extensions can not be created,Lagererweiterungen kann nicht erstellt werden.,无法创建存储扩展,無法創建存儲擴展,Расширения хранилища не могут быть созданы,Nelze vytvořit rozšíření úložiště,Nie można utworzyć rozszerzeń pamięci,Tárhelybővítmények nem hozhatók létre,Non è possibile creare estensioni di archiviazione,Les extensions de stockage ne peuvent pas être créées,Les extensions de stockage ne peuvent pas être créées,Extensões de armazenamento não podem ser criadas,ストレージ拡張機能を作成できません,
